digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
5,J,63,631,6311,63111,"Activities of providing infrastructure for hosting, data processing services and related activities",,"web hosting, streaming services or application hosting, application service provisioning, general time-share mainframe facilities to clients","Aktiviti penyediaan infrastruktur untuk hosting, perkhidmatan prosesan data dan aktiviti yang berkaitan(1)",,
5,J,63,631,6311,63112,Data processing activities,,complete processing and specialized reports from data supplied by clients or providing automated data processing and data entry services,Aktiviti prosesan data(2),,
5,J,63,631,6312,63120,Web portals,,"operation of web sites that use a search engine to generate and maintain extensive databases of Internet addresses and content in an easily searchable format. Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Web portal,,
5,J,63,639,6391,63910,"News syndicate and news agency activities furnishing news, pictures and features to the media (e.g. Bernama)","activities of independent and photojournalists, see 74200. activities of independent journalists, see 90005. activities of libraries and archives, see 9101","news syndicate and news agency activities furnishing news, pictures and features to the media (e.g. BERNAMA)",Aktiviti agensi dan sindiket berita,,
5,J,63,639,6399,63990,Other information service activities n.e.c.,"activities of call centres, see 82200",telephone based information services,Aktiviti perkhidmatan maklumat lain t.t.t.l.,,
5,K,64,641,6411,64110,Central banking,,,Perbankan pusat,,
5,K,64,641,6419,64191,Commercial Banks,,,Bank Perdagangan,,
5,K,64,641,6419,64192,Islamic Banks,,,Bank Islam,,
5,K,64,641,6419,64193,Offshore Banks,,Offshore Islamic Banks,Bank Luar Pesisir Pantai(2),,
5,K,64,641,6419,64194,Investment Banks,,,Bank Pelaburan,,
5,K,64,641,6419,64195,Development financial institutions (with deposits taking functions),,"“Development Financial Institution” means an institution which carries on any activity, whether for profit or otherwise, with or without any Government funding, with the purpose of promoting development in the industrial, agricultural, commercial or other economic sector, including the provision of capital or other credit facility; and for the purposes of this definition, “development” includes the commencement of any new industrial, agricultural, commercial or other economic venture or the expansion or improvement of any such existing venture.",Institusi Pembangunan Kewangan (dengan fungsi pengambilan deposit)(3),,
5,K,64,641,6419,64199,Other monetary intermediation (with deposits taking functions) n.e.c.,,,Perantaraan kewangan lain (dengan fungsi pengambilan deposit) t.t.t.l.,,
5,K,64,642,6420,64200,Activities of holding companies,"active management of companies and enterprises, strategic planning and decision making of the company, see 70100, 7020","the activities of holding companies, i.e. units that hold the assets (owning controlling-levels of equity) of a group of subsidiary corporations and whose principal activity is owning the group. The holding companies in this class do not provide any other service to the businesses in which the equity is held, i.e. they do not administer or manage other units",Aktiviti syarikat pemegang,,
5,K,64,643,6430,64301,Venture capital companies,,venture capital fund,Syarikat modal usahasama(2),,
5,K,64,643,6430,64302,Unit trust fund excludes REITs,,,Unit tabung amanah tidak termasuk REITs,,
5,K,64,643,6430,64303,Property unit trust (REITs),,,Harta unit amanah (REITs),,
5,K,64,643,6430,64304,Other administration of trusts accounts,,,Pengurusan akaun amanah lain,,
5,K,64,643,6430,64309,"Trusts, funds and similar financial entities n.e.c.",,,"Entiti amanah, tabung dan kewangan seumpamanya t.t.t.l.",,
5,K,64,649,6491,64910,Financial leasing activities,"operational leasing, see division 77, according to type of goods leased",leasing where the term approximately covers the expected life of the asset and the lessee acquires substantially all the benefits of its use and takes all the risks associated with its ownership,Aktiviti pajakan kewangan(2),,
5,K,64,649,6492,64921,Development financial institutions (without deposits taking functions),,“Development Financial Institution Without Deposit Taking Functions” are other development financial institutions that are not classified in the “Development Financial Institution With Deposit Taking Functions”,Institusi pembangunan kewangan (tanpa fungsi pengambilan deposit)(4),,
5,K,64,649,6492,64922,Credit card services,,,Perkhidmatan kad kredit,,
