digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
1,A,-,-,-,-,"Agriculture, forestry and fishing",,,"Pertanian, Perhutanan dan Perikanan",,
1,B,-,-,-,-,Mining and quarrying,,,Perlombongan dan Pengkuarian,,
1,C,-,-,-,-,Manufacturing,,,Pembuatan,,
1,D,-,-,-,-,"Electricity, gas, steam and air conditioning supply",,,"Bekalan elektrik, gas, wap dan pendingin udara",,
1,E,-,-,-,-,"Water supply; sewerage, waste management and remediation activities",,,"Bekalan air; pembentungan, pengurusan sisa dan aktiviti pemulihan",,
1,F,-,-,-,-,Construction,,,Pembinaan,,
1,G,-,-,-,-,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,"Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",,
1,H,-,-,-,-,Transportation and storage,,,Pengangkutan dan penyimpanan,,
1,I,-,-,-,-,Accommodation and food service activities,,,Penginapan dan aktiviti perkhidmatan makanan dan minuman,,
1,J,-,-,-,-,Information and communication,,,Maklumat dan komunikasi,,
1,K,-,-,-,-,Financial and insurance/takaful activities,,,Aktiviti kewangan dan insurans/takaful,,
1,L,-,-,-,-,Real estate activities,,,Aktiviti hartanah,,
1,M,-,-,-,-,"Professional, scientific and technical activities",,,"Aktiviti profesional, saintifik dan teknikal",,
1,N,-,-,-,-,Administrative and support service activities,,,Aktiviti pentadbiran dan khidmat sokongan,,
1,O,-,-,-,-,Public administration and defence; compulsory social security,,,Pentadbiran awam dan pertahanan; aktiviti sosial wajib,,
1,P,-,-,-,-,Education,,,Pendidikan,,
1,Q,-,-,-,-,Human health and social work activities,,,Aktiviti kesihatan kemanusiaan dan kerja sosial,,
1,R,-,-,-,-,"Arts, entertainment and recreation",,,"Kesenian, hiburan dan rekreasi",,
1,S,-,-,-,-,Other service activities,,,Aktiviti perkhidmatan lain,,
1,T,-,-,-,-,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,,,Aktiviti isi rumah sebagai majikan; Aktiviti mengeluarkan barangan-Dan perkhidmatan-Yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri,,
1,U,-,-,-,-,Activities of extraterritorial organizations and bodies,,,Aktiviti badan dan pertubuhan luar wilayah,,
2,A,01,-,-,-,"Crop and animal production, hunting and related service activities",,,"Pengeluaran tanaman dan ternakan, pemburuan dan aktiviti perkhidmatan berkaitan",,
2,A,02,-,-,-,Forestry and logging,,,Perhutanan dan pembalakan,,
2,A,03,-,-,-,Fishing and aquaculture,,,Perikanan dan akuakultur,,
2,B,05,-,-,-,Mining of coal and lignite,,,Perlombongan batu arang dan lignit,,
2,B,06,-,-,-,Extraction of crude petroleum and natural gas,,,Pengekstrakan petroleum mentah dan gas asli,,
2,B,07,-,-,-,Mining of metal ores,,,Perlombongan bijih besi,,
2,B,08,-,-,-,Other mining and quarrying,,,Perlombongan dan pengkuarian lain,,
2,B,09,-,-,-,Mining support service activities,,,Aktiviti sokongan perkhidmatan perlombongan,,
2,C,10,-,-,-,Manufacture of food products,,,Pembuatan produk makanan,,
2,C,11,-,-,-,Manufacture of beverages,,,Pembuatan minuman,,
2,C,12,-,-,-,Manufacture of tobacco products,,,Pembuatan produk tembakau,,
2,C,13,-,-,-,Manufacture of textiles,,,Pembuatan tekstil,,
2,C,14,-,-,-,Manufacture of wearing apparel,,,Pembuatan pakaian,,
2,C,15,-,-,-,Manufacture of leather and related products,,,Pembuatan produk kulit dan barangan berkaitan,,
2,C,16,-,-,-,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",,,"Pembuatan kayu dan produk kayu dan gabus, kecuali perabot; pembuatan bagi artikel jerami dan bahan-bahan anyaman",,
2,C,17,-,-,-,Manufacture of paper and paper products,,,Pembuatan kertas dan produk kertas,,
2,C,18,-,-,-,Printing and reproduction of recorded media,,,Percetakan dan penerbitan semula media rakaman,,
2,C,19,-,-,-,Manufacture of coke and refined petroleum products,,,Pembuatan kok dan produk petroleum bertapis,,
2,C,20,-,-,-,Manufacture of chemicals and chemical products,,,Pembuatan kimia dan produk kimia,,
2,C,21,-,-,-,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,"Pembuatan produk farmaseutikal asas, kimia perubatan dan botani",,
2,C,22,-,-,-,Manufacture of rubber and plastics products,,,Pembuatan produk getah dan plastik,,
2,C,23,-,-,-,Manufacture of other non-metallic mineral products,,,Pembuatan produk galian bukan logam lain,,
2,C,24,-,-,-,Manufacture of basic metals,,,Pembuatan logam asas,,
2,C,25,-,-,-,"Manufacture of fabricated metal products, except machinery and equipment",,,"Pembuatan produk logam, kecuali mesin dan kelengkapan",,
2,C,26,-,-,-,"Manufacture of computer, electronic and optical products",,,"Pembuatan komputer, produk elektronik dan optikal",,
2,C,27,-,-,-,Manufacture of electrical equipment,,,Pembuatan kelengkapan elektrik,,
2,C,28,-,-,-,Manufacture of machinery and equipment n.e.c.,,,Pembuatan jentera dan peralatan t.t.t.l.,,
2,C,29,-,-,-,"Manufacture of motor vehicles, trailers and semi-trailers",,,"Pembuatan kenderaan bermotor, treler dan semi treler",,
2,C,30,-,-,-,Manufacture of other transport equipment,,,Pembuatan kelengkapan pengangkutan lain,,
2,C,31,-,-,-,Manufacture of furniture,,,Pembuatan perabot,,
2,C,32,-,-,-,Other manufacturing,,,Pembuatan lain,,
2,C,33,-,-,-,Repair and installation of machinery and equipment,,,Pembaikan dan pemasangan jentera dan kelengkapan,,
2,D,35,-,-,-,"Electricity, gas, steam and air conditioning supply",,,"Bekalan elektrik, gas, wap dan pendingin udara",,
2,E,36,-,-,-,"Water collection, treatment and supply",,,"Penakungan, perawatan dan bekalan air",,
2,E,37,-,-,-,Sewerage,,,Pembetungan,,
2,E,38,-,-,-,"Waste collection, treatment and disposal activities; materials recovery",,,"Aktiviti pengumpulan, rawatan dan pelupusan sisa; pemulihan semula bahan",,
2,E,39,-,-,-,Remediation activities and other waste management services,,,Aktiviti pemulihan dan lain-lain perkhidmatan pengurusan sisa,,
2,F,41,-,-,-,Construction of buildings,,,Pembinaan bangunan,,
2,F,42,-,-,-,Civil engineering,,,Kejuruteraan awam,,
2,F,43,-,-,-,Specialized construction activities,,,Aktiviti pembinaan pertukangan khas,,
2,G,45,-,-,-,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,Perdagangan borong dan runcit dan pembaikan kenderaan bermotor dan motosikal,,
2,G,46,-,-,-,"Wholesale trade, except of motor vehicles and motorcycles",,,Perdagangan borong kecuali kenderaan bermotor dan motosikal,,
2,G,47,-,-,-,"Retail trade, except of motor vehicles and motorcycles",,,Perdagangan runcit kecuali kenderaan bermotor dan motosikal,,
2,H,49,-,-,-,Land transport and transport via pipelines,,,Pengangkutan darat dan pengangkutan melalui saliran paip,,
2,H,50,-,-,-,Water transport,,,Pengangkutan air,,
2,H,51,-,-,-,Air transport,,,Pengangkutan udara,,
2,H,52,-,-,-,Warehousing and support activities for transportation,,,Penggudangan dan aktiviti sokongan untuk pengangkutan,,
2,H,53,-,-,-,Postal and courier activities,,,Perkhidmatan pos dan kurier,,
2,I,55,-,-,-,Accommodation,,,Penginapan,,
2,I,56,-,-,-,Food and beverage service activities,,,Aktiviti perkhidmatan makanan dan minuman,,
2,J,58,-,-,-,Publishing activities,,,Aktivit penerbitan,,
2,J,59,-,-,-,"Motion picture, video and television programme production, sound recording and music publishing activities",,,"Aktiviti penerbitan wayang gambar, video dan program televisyen , rakaman bunyi dan penerbitan muzik",,
2,J,60,-,-,-,Programming and broadcasting activities,,,Aktiviti pemprograman dan penyiaran,,
2,J,61,-,-,-,Telecommunications,,,Telekomunikasi,,
2,J,62,-,-,-,"Computer programming, consultancy and related activities",,,"Pengaturcaraan komputer, perundingan dan aktiviti yang berkaitan",,
2,J,63,-,-,-,Information service activities,,,Aktiviti perkhidmatan maklumat,,
2,K,64,-,-,-,"Financial service activities, except insurance/takaful and pension funding",,,"Aktiviti perkhidmatan kewangan, kecuali insurans/takaful dan tabungan pencen",,
2,K,65,-,-,-,"Insurance/takaful, reinsurance/takaful and pension funding, except compulsory social security",,,"Insurans/takaful, insurans/takaful semula dan tabungan pencen, kecuali keselamatan sosial berwajib",,
2,K,66,-,-,-,Activities auxiliary to financial service and insurance/takaful activities,,,Aktiviti sokongan kepada perkhidmatan kewangan dan aktiviti insurans/takaful,,
2,L,68,-,-,-,Real estate activities,,,Aktiviti hartanah,,
2,M,69,-,-,-,Legal and accounting activities,,,Aktiviti guaman dan perakaunan,,
2,M,70,-,-,-,Activities of head offices; management consultancy activities,,,Aktiviti ibu pejabat; aktiviti perundingan pengurusan,,
2,M,71,-,-,-,Architectural and engineering activities; technical testing and analysis,,,Aktiviti arkitek dan kejuruteraan; ujian teknikal dan analisis,,
2,M,72,-,-,-,Scientific research and development,,,Penyelidikan dan pembangunan saintifik,,
2,M,73,-,-,-,Advertising and market research,,,Pengiklanan dan penyelidikan pasaran,,
2,M,74,-,-,-,"Other professional, scientific and technical activities",,,"Perkhidmatan profesional, saintifik dan teknikal lain",,
2,M,75,-,-,-,Veterinary activities,,,Aktiviti veterinar,,
2,N,77,-,-,-,Rental and leasing activities,,,Aktiviti sewaan dan pajakan,,
2,N,78,-,-,-,Employment activities,,,Aktiviti pekerjaan,,
2,N,79,-,-,-,"Travel agency, tour operator, reservation service and related activities",,,"Agensi pengembaraan, operator pelancongan, khidmat penempahan dan aktiviti berkaitan",,
2,N,80,-,-,-,Security and investigation activities,,,Aktiviti keselamatan dan penyiasatan,,
2,N,81,-,-,-,Services to buildings and landscape activities,,,Aktiviti perkhidmatan bangunan dan landskap,,
2,N,82,-,-,-,"Office administrative, office support and other business support activities",,,"Aktiviti pengurusan pejabat, sokongan pejabat dan sokongan perniagaan lain",,
2,O,84,-,-,-,Public administration and defence; compulsory social security,,,Pentadbiran awam dan pertahanan; keselamatan sosial wajib,,
2,P,85,-,-,-,Education,,,Pendidikan,,
2,Q,86,-,-,-,Human health activities,,,Aktiviti kesihatan kemanusiaan,,
2,Q,87,-,-,-,Residential care activities,,,Aktiviti rumah penjagaan,,
2,Q,88,-,-,-,Social work activities without accommodation,,,Aktiviti kerja sosial tanpa penginapan,,
2,R,90,-,-,-,"Creative, arts and entertainment activities",,,"Aktiviti kesenian, hiburan dan kreatif",,
2,R,91,-,-,-,"Libraries, archives, museums and other cultural activities",,,"Aktiviti perpustakaan, arkib, muzium dan kebudayaan lain",,
2,R,92,-,-,-,Gambling and betting activities,,,Aktiviti perjudian dan pertaruhan,,
2,R,93,-,-,-,Sports activities and amusement and recreation activities,,,Aktiviti sukan dan aktiviti hiburan dan rekreasi,,
2,S,94,-,-,-,Activities of membership organizations,,,Aktiviti keahlian organisasi,,
2,S,95,-,-,-,Repair of computers and personal and household goods,,,Pembaikan komputer dan barangan persendirian dan isi rumah,,
2,S,96,-,-,-,Other personal service activities,,,Aktiviti perkhidmatan persendirian lain,,
2,T,97,-,-,-,Activities of households as employers of domestic personnel,,,Aktiviti isi rumah sebagai majikan bagi personel domestik,,
2,T,98,-,-,-,Undifferentiated goods- and services-producing activities of private households for own use,,,Aktiviti mengeluarkan barangan- dan perkhidmatan- yang tidak dapat dibezakan oleh isi rumah persendirian untuk kegunaan sendiri,,
2,U,99,-,-,-,Activities of extraterritorial organizations and bodies,,,Aktiviti badan dan pertubuhan luar wilayah,,
3,A,01,011,-,-,Growing of non-perennial crops,,,Penanaman tanaman tidak kekal,,
3,A,01,012,-,-,Growing of perennial crops,,,Penanaman tanaman kekal,,
3,A,01,013,-,-,Plant propagation,,,Pembiakan tumbuhan,,
3,A,01,014,-,-,Animal production,,,Pengeluaran ternakan,,
3,A,01,015,-,-,Mixed farming,,,Pertanian campuran,,
3,A,01,016,-,-,Support activities to agriculture and post-harvest crop activities,,,Aktiviti sokongan pertanian dan aktiviti tanaman selepas tuaian,,
3,A,01,017,-,-,"Hunting, trapping and related service activities",,,"Pemburuan, penjeratan dan aktiviti perkhidmatan berkaitan",,
3,A,02,021,-,-,Silviculture and other forestry activities,,,Silvikultur dan aktiviti perhutanan lain,,
3,A,02,022,-,-,Logging,,,Pembalakan,,
3,A,02,023,-,-,Gathering of non-wood forest products,,,Pengumpulan produk hutan bukan kayu,,
3,A,02,024,-,-,Support services to forestry,,,Perkhidmatan sokongan perhutanan,,
3,A,03,031,-,-,Fishing,,,Perikanan,,
3,A,03,032,-,-,Aquaculture,,,Akuakultur,,
3,B,05,051,-,-,Mining of hard coal,,,Perlombongan batu arang pepejal,,
3,B,05,052,-,-,Mining of lignite,,,Perlombongan lignit,,
3,B,06,061,-,-,Extraction of crude petroleum,,,Pengekstrakan petroleum mentah,,
3,B,06,062,-,-,Extraction of natural gas,,,Pengekstrakan gas asli,,
3,B,07,071,-,-,Mining of iron ores,,,Perlombongan bijih besi,,
3,B,07,072,-,-,Mining of non-ferrous metal ores,,,Perlombongan bijih logam bukan besi (non-ferrous),,
3,B,08,081,-,-,"Quarrying of stone, sand and clay",,,"Pengkuarian batu, pasir dan tanah liat",,
3,B,08,089,-,-,Mining and quarrying n.e.c.,,,Perlombongan dan pengkuarian t.t.t.l.,,
3,B,09,091,-,-,Support activities for petroleum and natural gas extraction,,,Aktiviti sokongan pengekstrakan petroleum dan gas asli,,
3,B,09,099,-,-,Support activities for other mining and quarrying,,,Aktiviti sokongan perlombongan dan pengkuarian lain,,
3,C,10,101,-,-,Processing and preserving of meat,,,Pemprosesan dan pengawetan daging,,
3,C,10,102,-,-,"Processing and preserving of fish, crustaceans and molluscs",,,"Pemprosesan dan pengawetan ikan, krustasea dan moluska",,
3,C,10,103,-,-,Processing and preserving of fruit and vegetables,,,Pemprosesan dan pengawetan buah-buahan dan sayur-sayuran,,
3,C,10,104,-,-,Manufacture of vegetable and animal oils and fats,,,Pembuatan minyak dan lemak daripada sayuran dan haiwan,,
3,C,10,105,-,-,Manufacture of dairy products,,,Pembuatan produk tenusu,,
3,C,10,106,-,-,"Manufacture of grain mill products, starches and starch products",,,"Pembuatan produk bijian, kanji dan produk berkanji",,
3,C,10,107,-,-,Manufacture of other food products,,,Pembuatan produk makanan lain,,
3,C,10,108,-,-,Manufacture of prepared animal feeds,,,Pembuatan makanan haiwan tersedia,,
3,C,11,110,-,-,Manufacture of beverages,,,Pembuatan minuman ringan,,
3,C,12,120,-,-,Manufacture of tobacco products,,,Pembuatan produk tembakau,,
3,C,13,131,-,-,"Spinning, weaving and finishing of textiles",,,"Pemintalan, penenunan dan penyiapan tekstil",,
3,C,13,139,-,-,Manufacture of other textiles,,,Pembuatan tekstil lain,,
3,C,14,141,-,-,"Manufacture of wearing apparel, except fur apparel",,,"Pembuatan pakaian, kecuali pakaian berbulu",,
3,C,14,142,-,-,Manufacture of articles of fur,,,Pembuatan artikel bulu,,
3,C,14,143,-,-,Manufacture of knitted and crocheted apparel,,,Pembuatan pakaian yang dikait dan dikrusye,,
3,C,15,151,-,-,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",,,"Penyamakan dan pembersihan kulit, pembuatan bagasi, beg tangan, pelana dan abah-abah; pembersihan dan pewarnaan bulu",,
3,C,15,152,-,-,Manufacture of footwear,,,Pembuatan kasut,,
3,C,16,161,-,-,Sawmilling and planing of wood,,,Pengilangan dan pengetaman kayu,,
3,C,16,162,-,-,"Manufacture of products of wood, cork, straw and plaiting materials",,,"Pembuatan produk daripada kayu, gabus, jerami dan bahan jalinan lain",,
3,C,17,170,-,-,Manufacture of paper and paper products,,,Pembuatan kertas dan produk kertas,,
3,C,18,181,-,-,Printing and service activities related to printing,,,Percetakan dan aktiviti perkhidmatan berkaitan percetakan,,
3,C,18,182,-,-,Reproduction of recorded media,,,Penerbitan semula media rakaman,,
3,C,19,191,-,-,Manufacture of coke oven products,,,Pembuatan produk ketuhar kok,,
3,C,19,192,-,-,Manufacture of refined petroleum products,,,Pembuatan produk petroleum bertapis,,
3,C,20,201,-,-,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",,,"Pembuatan kimia asas, baja dan sebatian nitrogen, plastik dan getah sintetik dalam bentuk primer",,
3,C,20,202,-,-,Manufacture of other chemical products,,,Pembuatan produk kimia lain,,
3,C,20,203,-,-,Manufacture of man-made fibres,,,Pembuatan serat buatan manusia,,
3,C,21,210,-,-,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,,"Pembuatan produk farmaseutikal, kimia perubatan dan botani",,
3,C,22,221,-,-,Manufacture of rubber products,,,Pembuatan produk getah,,
3,C,22,222,-,-,Manufacture of plastics products,,,Pembuatan produk plastik,,
3,C,23,231,-,-,Manufacture of glass and glass products,,,Pembuatan kaca dan produk kaca,,
3,C,23,239,-,-,Manufacture of non-metallic mineral products n.e.c.,,,Pembuatan pengeluaran galian bukan logam t.t.t.l.,,
3,C,24,241,-,-,Manufacture of basic iron and steel,,,Pembuatan besi dan keluli asas,,
3,C,24,242,-,-,Manufacture of basic precious and other non-ferrous metals,,,Pembuatan logam asas berharga dan logam bukan ferus lain,,
3,C,24,243,-,-,Casting of metals,,,Penuangan logam,,
3,C,25,251,-,-,"Manufacture of structural metal products, tanks, reservoirs and steam generators",,,"Pembuatan produk struktur logam, tangki, takungan dan penjana wap",,
3,C,25,252,-,-,Manufacture of weapons and ammunition,,,Pembuatan senjata dan peluru,,
3,C,25,259,-,-,Manufacture of other fabricated metal products; metalworking service activities,,,Pembuatan produk lain yang direka daripada logam; aktiviti perkhidmatan kerja logam,,
3,C,26,261,-,-,Manufacture of electronic components and boards,,,Pembuatan komponen dan papan elektronik,,
3,C,26,262,-,-,Manufacture of computers and peripheral equipment,,,Pembuatan komputer dan kelengkapan peranti,,
3,C,26,263,-,-,Manufacture of communication equipment,,,Pembuatan peralatan komunikasi,,
3,C,26,264,-,-,Manufacture of consumer electronics,,,Pembuatan peralatan elektronik pengguna,,
3,C,26,265,-,-,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",,,"Pembuatan kelengkapan mengukur, menguji, memandu arah dan kawalan; jam tangan dan jam",,
3,C,26,266,-,-,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,,"Pembuatan peralatan penyinaran, perubatan elektro dan elektroterapeutik",,
3,C,26,267,-,-,Manufacture of optical instruments and photographic equipment,,,Pembuatan instrumen optikal dan kelengkapan fotografi,,
3,C,26,268,-,-,Manufacture of magnetic and optical media,,,Pembuatan media magnetik dan optikal,,
3,C,27,271,-,-,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",,,"Pembuatan motor elektrik, penjana, transformer dan perkakasan pengagihan dan pengawalan elektrik",,
3,C,27,272,-,-,Manufacture of batteries and accumulators,,,Pembuatan bateri dan akumulator,,
3,C,27,273,-,-,Manufacture of wiring and wiring devices,,,Pembuatan pendawaian dan peranti pendawaian,,
3,C,27,274,-,-,Manufacture of electric lighting equipment,,,Pembuatan kelengkapan pencahayaan elektrik,,
3,C,27,275,-,-,Manufacture of domestic appliances,,,Pembuatan perkakasan domestik,,
3,C,27,279,-,-,Manufacture of other electrical equipment,,,Pembuatan kelengkapan elektrik lain,,
3,C,28,281,-,-,Manufacture of general-purpose machinery,,,Pembuatan jentera kegunaan umum,,
3,C,28,282,-,-,Manufacture of special-purpose machinery,,,Pembuatan jentera kegunaan khas,,
3,C,29,291,-,-,Manufacture of motor vehicles,,,Pembuatan kenderaan bermotor,,
3,C,29,292,-,-,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,Pembuatan kerangka (coachwork) untuk kenderaan bermotor; pembuatan treler dan semi treler,,
3,C,29,293,-,-,Manufacture of parts and accessories for motor vehicles,,,Pembuatan alat ganti dan aksesori untuk kenderaan bermotor,,
3,C,30,301,-,-,Building of ships and boats,,,Pembinaan kapal dan bot,,
3,C,30,302,-,-,Manufacture of railway locomotives and rolling stock,,,Pembuatan lokomotif keretapi dan rolling stock,,
3,C,30,303,-,-,Manufacture of air and spacecraft and related machinery,,,Pembuatan kapal angkasa dan udara dan jentera berkaitan,,
3,C,30,304,-,-,Manufacture of military fighting vehicles,,,Pembuatan kenderaan tempur ketenteraan,,
3,C,30,309,-,-,Manufacture of transport equipment n.e.c.,,,Pembuatan kelengkapan pengangkutan t.t.t.l.,,
3,C,31,310,-,-,Manufacture of furniture,,,Pembuatan perabot,,
3,C,32,321,-,-,"Manufacture of jewellery, bijouterie and related articles",,,"Pembuatan barang kemas, bijouterie dan artikel berkaitan",,
3,C,32,322,-,-,Manufacture of musical instruments,,,Pembuatan instrumen muzik,,
3,C,32,323,-,-,Manufacture of sports goods,,,Pembuatan barangan sukan,,
3,C,32,324,-,-,Manufacture of games and toys,,,Pembuatan permainan dan mainan,,
3,C,32,325,-,-,Manufacture of medical and dental instruments and supplies,,,Pembuatan bekalan dan instrumen pergigian dan perubatan,,
3,C,32,329,-,-,Other manufacturing n.e.c.,,,Pembuatan lain t.t.t.l.,,
3,C,33,331,-,-,"Repair of fabricated metal products, machinery and equipment",,,"Pembaikan pemasangan produk logam, jentera dan kelengkapan",,
3,C,33,332,-,-,Installation of industrial machinery and equipment,,,Pemasangan jentera perindustrian dan kelengkapan,,
3,D,35,351,-,-,"Electric power generation, transmission and distribution",,,"Penjanaan, penghantaran dan pengagihan tenaga elektrik",,
3,D,35,352,-,-,Manufacture of gas; distribution of gaseous fuels through mains,,,Pembuatan gas; pengagihan bahan api berunsur gas melalui saluran utama,,
3,D,35,353,-,-,Steam and air conditioning supply,,,Bekalan wap dan pendingin udara,,
3,E,36,360,-,-,"Water collection, treatment and supply",,,"Penakungan, perawatan dan bekalan air",,
3,E,37,370,-,-,Sewerage,,,Pembetungan,,
3,E,38,381,-,-,Waste collection,,,Pengumpulan sisa,,
3,E,38,382,-,-,Waste treatment and disposal,,,Rawatan dan pelupusan sisa,,
3,E,38,383,-,-,Materials recovery,,,Pemulihan semula bahan,,
3,E,39,390,-,-,Remediation activities and other waste management services,,,Aktiviti pemuliharan dan lain-lain perkhidmatan pengurusan sisa,,
3,F,41,410,-,-,Construction of buildings,,,Pembinaan bangunan,,
3,F,42,421,-,-,Construction of roads and railways,,,Pembinaan jalanraya dan landasan keretapi,,
3,F,42,422,-,-,Construction of utility projects,,,Pembinaan projek utiliti,,
3,F,42,429,-,-,Construction of other civil engineering projects,,,Pembinaan projek kejuruteraan lain,,
3,F,43,431,-,-,Demolition and site preparation,,,Perobohan dan penyediaan tapak,,
3,F,43,432,-,-,"Electrical, plumbing and other construction installation activities",,,"Aktiviti pemasangan elektrikal, paip dan pembinaan lain",,
3,F,43,433,-,-,Building completion and finishing,,,Penyiapan dan kemasan bangunan,,
3,F,43,439,-,-,Other specialized construction activities,,,Aktiviti pembinaan pertukangan khas lain,,
3,G,45,451,-,-,Sale of motor vehicles,,,Jualan kenderaan bermotor,,
3,G,45,452,-,-,Maintenance and repair of motor vehicles,,,Penyelenggaraan dan pembaikan kenderaan bermotor,,
3,G,45,453,-,-,Sale of motor vehicle parts and accessories,,,Jualan komponen (termasuk alat ganti) dan aksesori kenderaan bermotor,,
3,G,45,454,-,-,"Sale, maintenance and repair of motorcycles and related parts and accessories",,,"Jualan, penyelenggaraan dan pembaikan motosikal dan komponen (termasuk alat ganti) dan aksesori berkaitan",,
3,G,46,461,-,-,Wholesale on a fee or contract basis,,,Jual borong berdasar kontrak atau yuran,,
3,G,46,462,-,-,Wholesale of agricultural raw materials and live animals,,,"Jual borong bahan mentah, pertanian dan haiwan hidup",,
3,G,46,463,-,-,"Wholesale of food, beverages and tobacco",,,"Jual borong makanan, minuman dan tembakau",,
3,G,46,464,-,-,Wholesale of household goods,,,Jual borong barangan isi rumah,,
3,G,46,465,-,-,"Wholesale of machinery, equipment and supplies",,,"Jual borong jentera, kelengkapan dan bekalan",,
3,G,46,466,-,-,Other specialized wholesale,,,Lain-lain pengkhususan jual borong,,
3,G,46,469,-,-,Non-specialized wholesale trade,,,Perdagangan jual borong bukan pengkhususan,,
3,G,47,471,-,-,Retail sale in non-specialized stores,,,Jualan runcit di stor bukan pengkhususan,,
3,G,47,472,-,-,"Retail sale of food, beverages and tobacco in specialized stores",,,"Jualan runcit makanan, minuman dan tembakau di stor pengkhususan",,
3,G,47,473,-,-,Retail sale of automotive fuel in specialized stores,,,Jualan runcit bahan api kenderaan di stor pengkhususan,,
3,G,47,474,-,-,Retail sale of information and communications equipment in specialized stores,,,Jualan runcit kelengkapan informasi dan komunikasi di stor pengkhususan,,
3,G,47,475,-,-,Retail sale of other household equipment in specialized stores,,,Jualan runcit lain-lain peralatan isirumah di stor pengkhususan,,
3,G,47,476,-,-,Retail sale of cultural and recreation goods in specialized stores,,,Jualan runcit barangan kesenian dan rekreasi di stor pengkhususan,,
3,G,47,477,-,-,Retail sale of other goods in specialized stores,,,Jualan runcit barangan lain di stor pengkhususan,,
3,G,47,478,-,-,Retail sale via stalls and markets,,,Jualan runcit melalui gerai dan pasar,,
3,G,47,479,-,-,"Retail trade not in stores, stalls or markets",,,"Perdagangan runcit bukan di kedai, gerai atau pasar",,
3,H,49,491,-,-,Transport via railways,,,Pengangkutan melalui laluan rel,,
3,H,49,492,-,-,Other land transport,,,Pengangkutan darat lain,,
3,H,49,493,-,-,Transport via pipeline,,,Pengangkutan melalui saluran paip,,
3,H,50,501,-,-,Sea and coastal water transport,,,Pengangkutan air laut dan pesisir pantai,,
3,H,50,502,-,-,Inland water transport,,,Pengangkutan air pedalaman,,
3,H,51,511,-,-,Passenger air transport,,,Pengangkutan penumpang udara,,
3,H,51,512,-,-,Freight air transport,,,Pengangkutan muatan udara,,
3,H,52,521,-,-,Warehousing and storage,,,Penggudangan dan penyimpanan,,
3,H,52,522,-,-,Support activities for transportation,,,Aktiviti sokongan untuk pengangkutan,,
3,H,53,531,-,-,Postal activities,,,Aktiviti pos,,
3,H,53,532,-,-,Courier activities,,,Aktiviti kurier,,
3,I,55,551,-,-,Short term accommodation activities,,,Aktiviti penginapan jangka masa pendek,,
3,I,55,552,-,-,"Camping grounds, recreational vehicle parks and trailer parks",,,"Tapak perkhemahan, taman kenderaan rekreasi dan taman treler",,
3,I,55,559,-,-,Other accommodation,,,Penginapan lain,,
3,I,56,561,-,-,Restaurants and mobile food service activities,,,Restoran dan aktiviti perkhidmatan makanan bergerak,,
3,I,56,562,-,-,Event catering and other food service activities,,,Katering dan aktiviti perkhidmatan makanan lain,,
3,I,56,563,-,-,Beverage serving activities,,,Aktiviti perkhidmatan minuman,,
3,J,58,581,-,-,"Publishing of books, periodicals and other publishing activities",,,"Aktiviti penerbitan buku, terbitan berkala dan penerbitan lain",,
3,J,58,582,-,-,Software publishing,,,Penerbitan perisian,,
3,J,59,591,-,-,"Motion picture, video and television programme activities",,,"Aktiviti wayang gambar, video dan program televisyen",,
3,J,60,601,-,-,Radio broadcasting,,,Penyiaran radio,,
3,J,60,602,-,-,Television programming and broadcasting activities,,,Aktiviti pemprograman dan penyiaran televisyen,,
3,J,61,611,-,-,Wired telecommunications activities,,,Aktiviti komunikasi berwayar,,
3,J,61,612,-,-,Wireless telecommunications activities,,,Aktiviti telekomunikasi tanpa wayar,,
3,J,61,613,-,-,Satellite telecommunications activities,,,Aktiviti telekomunikasi satelit,,
3,J,61,619,-,-,Other telecommunications activities,,,Aktiviti telekomunikasi lain,,
3,J,62,620,-,-,"Computer programming, consultancy and related activities",,,"Pengaturcaraan komputer, perundingan dan aktiviti berkaitan",,
3,J,63,631,-,-,"Data processing, hosting and related activities; web portals",,,"Aktiviti prosesan data, hosting dan aktiviti lain yang berkaitan; web portal",,
3,J,63,639,-,-,Other information service activities,,,Aktiviti perkhidmatan maklumat lain,,
3,K,64,641,-,-,Monetary intermediation,,,Perantaraan kewangan,,
